time(s) velocity(m/s) pwm offset_pwm
1584111270.1345272064208984 0.4900000691413879 12195 7000
1584111270.2347264289855957 0.4900000691413879 12200 7000
1584111270.3345983028411865 0.4799998402595520 12208 7000
1584111270.4346816539764404 0.5000002980232239 12213 7000
1584111270.5345516204833984 0.5000002980232239 12213 7000
1584111270.6346499919891357 0.4699996113777161 12221 7000
1584111270.7346150875091553 0.4800017476081848 12233 7000
1584111270.8347020149230957 0.5200007557868958 12233 7000
1584111270.9347052574157715 0.5200007557868958 12223 7000
1584111271.0345923900604248 0.5699999928474426 12200 7000
1584111271.1350696086883545 0.5299990773200989 12175 7000
1584111271.2347552776336670 0.5100005269050598 12165 7000
1584111271.3344845771789551 0.5300009846687317 12155 7000
1584111271.4346792697906494 0.5100005269050598 12145 7000
1584111271.5348467826843262 0.5100005269050598 12140 7000
1584111271.6347825527191162 0.5100005269050598 12135 7000
1584111271.7348253726959229 0.4900000691413879 12135 7000
1584111271.8346588611602783 0.5000002980232239 12138 7000
1584111271.9346055984497070 0.5099986195564270 12135 7000
1584111272.0346198081970215 0.4500010609626770 12146 7000
1584111272.1348030567169189 0.5200007557868958 12153 7000
1584111272.2344758510589600 0.5699999928474426 12130 7000
1584111272.3348896503448486 0.4900000691413879 12115 7000
1584111272.4349234104156494 0.4900000691413879 12120 7000
1584111272.5346243381500244 0.5000002980232239 12123 7000
1584111272.6345412731170654 0.4800017476081848 12128 7000
1584111272.7345442771911621 0.4900000691413879 12135 7000
1584111272.8345761299133301 0.4900000691413879 12140 7000
1584111272.9346575736999512 0.4800017476081848 12148 7000
1584111273.0346970558166504 0.4900000691413879 12155 7000
1584111273.1347169876098633 0.4699996113777161 12165 7000
1584111273.2348120212554932 0.4900000691413879 12175 7000
1584111273.3346080780029297 0.5000002980232239 12178 7000
1584111273.4346342086791992 0.5100005269050598 12175 7000
1584111273.5349528789520264 0.5000002980232239 12173 7000
1584111273.6347754001617432 0.5299990773200989 12165 7000
1584111273.7344343662261963 0.5200007557868958 12153 7000
1584111273.8347365856170654 0.5300009846687317 12140 7000
1584111273.9346396923065186 0.5100005269050598 12130 7000
1584111274.0346412658691406 0.5200007557868958 12123 7000
1584111274.1347246170043945 0.5200007557868958 12113 7000
1584111274.2346224784851074 0.4600012898445129 12118 7000
1584111274.3345224857330322 0.5600016713142395 12112 7000
1584111274.4349226951599121 0.5199988484382629 12093 7000
1584111274.5345611572265625 0.5100005269050598 12085 7000
1584111274.6344981193542480 0.5000002980232239 12083 7000
1584111274.7349376678466797 0.5100005269050598 12080 7000
1584111274.8345777988433838 0.4900000691413879 12080 7000
1584111274.9345235824584961 0.5000002980232239 12083 7000
1584111275.0348141193389893 0.5000002980232239 12083 7000
1584111275.1347010135650635 0.5000002980232239 12083 7000
1584111275.2345747947692871 0.4900000691413879 12085 7000
1584111275.3347325325012207 0.4599993824958801 12098 7000
1584111275.4347453117370605 0.6900008320808411 12059 7000
